,date,gameid
266,20100620,LTLG0
267,20100620,OBWO0
268,20100620,HTSK0
269,20100620,HHSS0
270,20100622,SSOB0
271,20100622,LGSK0
272,20100622,WOHT0
273,20100622,HHLT0
274,20100623,SSOB0
275,20100623,LGSK0
276,20100623,WOHT0
277,20100623,HHLT0
278,20100624,SSOB0
279,20100624,LGSK0
280,20100624,WOHT0
281,20100624,HHLT0
282,20100625,HTOB0
283,20100625,SSWO0
284,20100625,LGHH0
285,20100626,HTOB0
286,20100626,SSWO0
287,20100626,LGHH0
288,20100627,HTOB0
289,20100627,SSWO0
290,20100627,LGHH0
291,20100627,SKLT0
292,20100629,WOLG0
293,20100629,OBHH0
294,20100629,LTSS0
295,20100629,SKHT0
296,20100630,WOLG0
297,20100630,OBHH0
298,20100630,LTSS0
299,20100630,SKHT0
300,20100701,WOLG0
301,20100701,OBHH0
302,20100701,LTSS0
303,20100701,SKHT0
304,20100703,LTLG0
305,20100703,HHWO0
306,20100703,OBSK0
307,20100703,HTSS0
308,20100704,LTLG0
309,20100704,HHWO0
310,20100704,OBSK0
311,20100704,HTSS0
312,20100706,HTOB0
313,20100706,SSSK0
314,20100706,LGHH0
315,20100706,WOLT0
316,20100707,SSSK0
317,20100707,LGHH0
318,20100707,WOLT0
319,20100708,HTOB0
320,20100708,SSSK0
321,20100708,LGHH0
322,20100708,WOLT0
323,20100709,OBLG0
324,20100709,SSWO0
325,20100709,SKLT0
326,20100709,HHHT0
327,20100710,OBLG0
328,20100710,SSWO0
329,20100710,SKLT0
330,20100710,HHHT0
331,20100711,OBLG0
332,20100711,SSWO0
333,20100713,LTWO0
334,20100713,HHSK0
335,20100713,OBSS0
336,20100714,HTLG0
337,20100714,LTWO0
338,20100714,HHSK0
339,20100714,OBSS0
340,20100715,HTLG0
341,20100715,LTWO0
342,20100715,HHSK0
343,20100715,OBSS0
344,20100717,WOHH0
345,20100717,LGSS0
346,20100717,SKHT0
347,20100718,LTOB0
348,20100718,WOHH0
349,20100718,LGSS0
350,20100718,SKHT0
351,20100720,LGOB0
352,20100720,SKWO0
353,20100720,LTHH0
354,20100720,SSHT0
355,20100721,LGOB0
356,20100721,SKWO0
357,20100721,LTHH0
358,20100721,SSHT0
359,20100722,LGOB0
360,20100722,SKWO0
361,20100722,LTHH0
362,20100722,SSHT0
363,20100727,SKLG0
364,20100727,OBWO0
365,20100727,HTLT0
366,20100728,SKLG0
367,20100728,OBWO0
368,20100728,SSHH0
369,20100729,SKLG0
370,20100729,OBWO0
371,20100729,SSHH0
