기록
타율
타점
득점
안타
1루타
2루타
3루타
홈런
볼넷
4구
몸에맞는공
고의4구
병살
출루율
장타율
희생플라이
희생번트
피삼진
방어율
투구수
타자수
홀드
세이브
피안타
삼진
피홈런
4사구
자책점
승률
이닝
이닝당투구수
승리
패배
무승부
